t,Fx_hat,Fy_hat,Fz_hat,tau_yaw_hat,tau_yaw_ema,force_mag,force_mag_ema,wz_obs,vx_cmd,vy_cmd,wz_cmd,compliance_mode
0.0,23.45180320739746,0.527859091758728,14.309720993041992,-1.1892777681350708,-1.162527084350586,27.47787857055664,27.561464309692383,-0.0,-0.0,-0.0,-0.0,off
0.02,23.4666805267334,0.5067781209945679,14.277941703796387,-1.2015674114227295,-1.1664310693740845,27.473651885986328,27.552268981933594,-0.0,0.0,-0.0,-0.0,off
0.04,23.47440528869629,0.47427403926849365,14.216694831848145,-1.1949243545532227,-1.1692802906036377,27.44789695739746,27.54143524169922,-0.0,0.0,-0.0,-0.0,off
0.06,23.477859497070312,0.4495052099227905,14.191060066223145,-1.1894114017486572,-1.1712933778762817,27.43716812133789,27.530643463134766,-0.0,-0.0,-0.0,-0.0,off
0.08,23.49300193786621,0.3654245138168335,14.124658584594727,-1.1845186948776245,-1.172615885734558,27.41460609436035,27.51858901977539,-0.0,-0.0,-0.0,-0.0,off
0.1,23.522537231445312,0.3511461019515991,14.075182914733887,-1.1893635988235474,-1.174290657043457,27.41429901123047,27.507736206054688,-0.0,-0.0,-0.0,-0.0,off
0.12,23.524372100830078,0.2995561361312866,13.970915794372559,-1.1896820068359375,-1.1758297681808472,27.36187744140625,27.49266815185547,-0.0,0.0,-0.0,-0.0,off
0.14,23.545719146728516,0.2713054418563843,13.823132514953613,-1.1649454832077026,-1.174741268157959,27.304824829101562,27.473304748535156,-0.0,-0.0,-0.0,-0.0,off
0.16,23.55245018005371,0.2431587129831314,13.690485954284668,-1.1409374475479126,-1.1713608503341675,27.243465423583984,27.449657440185547,-0.0,-0.0,-0.0,-0.0,off
0.18,23.55909538269043,0.1788715273141861,13.633336067199707,-1.146407127380371,-1.168865442276001,27.220043182373047,27.42599105834961,-0.0,0.0,-0.0,-0.0,off
0.2,23.57679557800293,0.13794459402561188,13.563248634338379,-1.1562877893447876,-1.1676075458526611,27.200111389160156,27.402666091918945,-0.0,0.0,-0.0,-0.0,off
0.22,23.57724952697754,0.10133303701877594,13.467174530029297,-1.147362232208252,-1.1655830144882202,27.152565002441406,27.376873016357422,-0.0,-0.0,-0.0,-0.0,off
0.24,23.567792892456055,0.015367880463600159,13.339385032653809,-1.133836030960083,-1.1624083518981934,27.080995559692383,27.346342086791992,0.0,0.0,-0.0,0.0,off
0.26,23.547712326049805,-0.0396028608083725,13.264949798583984,-1.1416089534759521,-1.1603283882141113,27.026935577392578,27.313451766967773,-0.0,-0.0,-0.0,-0.0,off
0.28,23.558216094970703,-0.0671602338552475,13.194993019104004,-1.1466783285140991,-1.1589634418487549,27.001888275146484,27.28135871887207,-0.0,-0.0,-0.0,-0.0,off
0.3,23.57821273803711,-0.11622963845729828,13.13790512084961,-1.1440016031265259,-1.157467246055603,26.991668701171875,27.251449584960938,-0.0,-0.0,-0.0,-0.0,off
0.32,23.5804386138916,-0.15125809609889984,13.058470726013184,-1.1227314472198486,-1.1539936065673828,26.955215454101562,27.220876693725586,-0.0,-0.0,-0.0,-0.0,off
0.34,23.56447982788086,-0.24470578134059906,13.0003662109375,-1.1281243562698364,-1.1514066457748413,26.913827896118164,27.189178466796875,-0.0,0.0,-0.0,-0.0,off
0.36,23.589826583862305,-0.3012787103652954,12.995088577270508,-1.1490139961242676,-1.151167392730713,26.934049606323242,27.162738800048828,-0.0,-0.0,-0.0,-0.0,off
0.38,23.596370697021484,-0.387363076210022,12.943586349487305,-1.1501113176345825,-1.151061773300171,26.91607666015625,27.1370906829834,-0.0,0.0,-0.0,-0.0,off
0.4,23.610803604125977,-0.4383636713027954,12.899885177612305,-1.136689305305481,-1.1496244668960571,26.90853500366211,27.11327362060547,-0.0,0.0,-0.0,-0.0,off
0.42,23.609506607055664,-0.5029016733169556,12.832365989685059,-1.1218901872634888,-1.1468510627746582,26.876222610473633,27.088579177856445,-0.0,-0.0,-0.0,-0.0,off
0.44,23.617198944091797,-0.6123396158218384,12.780279159545898,-1.1196798086166382,-1.1441338062286377,26.860427856445312,27.064672470092773,-0.0,-0.0,-0.0,-0.0,off
