t,Fx_hat,Fy_hat,Fz_hat,tau_yaw_hat,tau_yaw_ema,force_mag,force_mag_ema,wz_obs,vx_cmd,vy_cmd,wz_cmd,compliance_mode
0.0,15.448945045471191,-1.4115796089172363,-9.889976501464844,-0.340994656085968,-0.3120819628238678,18.39766502380371,18.99176597595215,-0.0,-0.20000000298023224,-0.0,-0.0,off
0.02,15.22415542602539,-1.376440167427063,-9.897354125976562,-0.33969026803970337,-0.31484276056289673,18.21063232421875,18.911087036132812,-0.0,-0.20000000298023224,-0.0,-0.0,off
0.04,15.044236183166504,-1.3574730157852173,-9.92638111114502,-0.3292267918586731,-0.31628116965293884,18.07497787475586,18.8248348236084,-0.0,-0.20000000298023224,-0.0,-0.0,off
0.06,14.865728378295898,-1.3385324478149414,-9.926576614379883,-0.32236772775650024,-0.31688982248306274,17.925357818603516,18.732280731201172,-0.0,-0.20000000298023224,-0.0,-0.0,off
0.08,14.700112342834473,-1.3568823337554932,-9.948793411254883,-0.32289010286331177,-0.3174898326396942,17.802047729492188,18.636581420898438,-0.0,-0.20000000298023224,-0.0,-0.0,off
0.1,14.569392204284668,-1.3654345273971558,-9.980905532836914,-0.32940059900283813,-0.31868091225624084,17.71299171447754,18.541542053222656,-0.0,-0.20000000298023224,-0.0,-0.0,off
0.12,14.3938627243042,-1.3516308069229126,-10.01453971862793,-0.33275681734085083,-0.3200885057449341,17.58696174621582,18.443279266357422,-0.0,-0.20000000298023224,-0.0,-0.0,off
0.14,14.24337100982666,-1.3585882186889648,-10.082452774047852,-0.33239060640335083,-0.32131871581077576,17.503576278686523,18.346284866333008,-0.0,-0.20000000298023224,-0.0,-0.0,off
0.16,14.094412803649902,-1.366513729095459,-10.13170337677002,-0.3359296917915344,-0.3227798044681549,17.411813735961914,18.24968910217285,-0.0,-0.20000000298023224,-0.0,-0.0,off
0.18,13.968050003051758,-1.4061236381530762,-10.15983772277832,-0.3404856324195862,-0.3245503604412079,17.329336166381836,18.154529571533203,-0.0,-0.20000000298023224,-0.0,-0.0,off
0.2,13.795416831970215,-1.4386630058288574,-10.211616516113281,-0.34535032510757446,-0.3266303241252899,17.223833084106445,18.058090209960938,-0.0,-0.20000000298023224,-0.0,-0.0,off
0.22,13.627486228942871,-1.4532349109649658,-10.246637344360352,-0.34447723627090454,-0.32841500639915466,17.111804962158203,17.959978103637695,-0.0,-0.20000000298023224,-0.0,-0.0,off
0.24,13.523177146911621,-1.4570534229278564,-10.305015563964844,-0.3453264832496643,-0.33010613918304443,17.064369201660156,17.866943359375,-0.0,-0.20000000298023224,-0.0,-0.0,off
0.26,13.360145568847656,-1.4640288352966309,-10.363409042358398,-0.35172683000564575,-0.3322681784629822,16.971656799316406,17.773731231689453,-0.0,-0.20000000298023224,-0.0,-0.0,off
0.28,13.211840629577637,-1.4688549041748047,-10.406753540039062,-0.36013180017471313,-0.33505454659461975,16.88226318359375,17.68083381652832,-0.0,-0.20000000298023224,-0.0,-0.0,off
0.3,13.050561904907227,-1.4531989097595215,-10.461546897888184,-0.3633778691291809,-0.33788686990737915,16.789072036743164,17.587749481201172,-0.0,-0.20000000298023224,-0.0,-0.0,off
0.32,12.924116134643555,-1.4760656356811523,-10.488265991210938,-0.3630138039588928,-0.3403995633125305,16.709735870361328,17.496129989624023,-0.0,-0.20000000298023224,-0.0,-0.0,off
0.34,12.85583209991455,-1.4823918342590332,-10.53358268737793,-0.370930016040802,-0.3434526026248932,16.68610954284668,17.411535263061523,-0.0,-0.20000000298023224,-0.0,-0.0,off
0.36,12.77779483795166,-1.4514198303222656,-10.583950996398926,-0.384329617023468,-0.3475402891635895,16.655290603637695,17.332487106323242,0.0,-0.20000000298023224,-0.0,0.0,off
0.38,12.653329849243164,-1.465613842010498,-10.613889694213867,-0.38828855752944946,-0.3516151010990143,16.580392837524414,17.253889083862305,-0.0,-0.20000000298023224,-0.0,-0.0,off
0.4,12.564644813537598,-1.4745855331420898,-10.653348922729492,-0.3911452889442444,-0.3555681109428406,16.53900146484375,17.179134368896484,-0.0,-0.20000000298023224,-0.0,-0.0,off
0.42,12.4574556350708,-1.4851951599121094,-10.707468032836914,-0.3931754231452942,-0.35932883620262146,16.49375343322754,17.107297897338867,-0.0,-0.20000000298023224,-0.0,-0.0,off
0.44,12.317306518554688,-1.4693100452423096,-10.776154518127441,-0.4001052975654602,-0.3634064793586731,16.43168830871582,17.036231994628906,-0.0,-0.20000000298023224,-0.0,-0.0,off
0.46,12.260652542114258,-1.5159845352172852,-10.853238105773926,-0.41091233491897583,-0.3681570589542389,16.444286346435547,16.973587036132812,-0.0,-0.20000000298023224,-0.0,-0.0,off
0.48,12.179245948791504,-1.5251259803771973,-10.918176651000977,-0.41239339113235474,-0.37258070707321167,16.4276180267334,16.91557502746582,-0.0,-0.20000000298023224,-0.0,-0.0,off
0.5,12.167784690856934,-1.5319349765777588,-11.019859313964844,-0.4130130410194397,-0.3766239285469055,16.487545013427734,16.869503021240234,-0.0,-0.20000000298023224,-0.0,-0.0,off
0.52,12.221219062805176,-1.5447368621826172,-11.064874649047852,-0.42030221223831177,-0.38099172711372375,16.558256149291992,16.835716247558594,-0.0,-0.30000001192092896,-0.0,-0.0,off
0.54,12.270451545715332,-1.5328845977783203,-11.152935028076172,-0.43145209550857544,-0.38603776693344116,16.65237808227539,16.815061569213867,-0.0,-0.30000001192092896,-0.0,-0.0,off
