t,Fx_hat,Fy_hat,Fz_hat,tau_yaw_hat,tau_yaw_ema,force_mag,force_mag_ema,wz_obs,vx_cmd,vy_cmd,wz_cmd,compliance_mode
0.0,15.09910774230957,-7.375390529632568,-2.54140567779541,1.2254372835159302,1.1897780895233154,16.9952392578125,17.188142776489258,-0.0,-0.0,-0.0,-0.0,off
0.02,15.108510971069336,-7.363863468170166,-2.541731834411621,1.2133780717849731,1.1921380758285522,16.998645782470703,17.16918182373047,-0.0,-0.0,-0.0,-0.0,off
0.04,15.11710262298584,-7.3632941246032715,-2.541902542114258,1.2047044038772583,1.193394660949707,17.00606346130371,17.15285873413086,-0.0,-0.0,-0.0,-0.0,off
0.06,15.158819198608398,-7.394794940948486,-2.601034164428711,1.228230595588684,1.19687819480896,17.06570053100586,17.144140243530273,-0.0,-0.0,-0.0,-0.0,off
0.08,15.097545623779297,-7.3523759841918945,-2.5508527755737305,1.223225712776184,1.1995129585266113,16.985292434692383,17.12824821472168,-0.0,-0.0,-0.0,-0.0,off
0.1,15.108981132507324,-7.349048614501953,-2.540257453918457,1.2139114141464233,1.2009527683258057,16.992431640625,17.11465835571289,-0.0,-0.0,-0.0,-0.0,off
0.12,15.134547233581543,-7.356613636016846,-2.5715856552124023,1.2111361026763916,1.201971173286438,17.02313995361328,17.105501174926758,-0.0,-0.0,-0.0,-0.0,off
0.14,15.181899070739746,-7.370914936065674,-2.6140637397766113,1.2275583744049072,1.204529881477356,17.07787322998047,17.10272789001465,-0.0,-0.0,-0.0,-0.0,off
0.16,15.184597969055176,-7.372057914733887,-2.6391048431396484,1.236594319343567,1.2077362537384033,17.08461570739746,17.10090446472168,-0.0,-0.0,-0.0,-0.0,off
0.18,15.224617958068848,-7.383303165435791,-2.6524534225463867,1.2348971366882324,1.2104523181915283,17.12710189819336,17.103511810302734,-0.0,-0.0,-0.0,-0.0,off
0.2,15.203954696655273,-7.376196384429932,-2.605626106262207,1.2231510877609253,1.2117221355438232,17.098472595214844,17.103002548217773,-0.0,-0.0,-0.0,-0.0,off
0.22,15.231315612792969,-7.398372173309326,-2.6085338592529297,1.2259464263916016,1.2131445407867432,17.132814407348633,17.105981826782227,-0.0,-0.0,-0.0,-0.0,off
0.24,15.246476173400879,-7.422232151031494,-2.6495723724365234,1.2466784715652466,1.2164978981018066,17.16288948059082,17.11166763305664,-0.0,-0.0,-0.0,-0.0,off
0.26,15.255125045776367,-7.426755905151367,-2.6573328971862793,1.2682374715805054,1.2216718196868896,17.173728942871094,17.117870330810547,-0.0,-0.0,-0.0,-0.0,off
0.28,15.202316284179688,-7.393491744995117,-2.5936598777770996,1.2491344213485718,1.224418044090271,17.1026668548584,17.11634635925293,-0.0,-0.0,-0.0,-0.0,off
0.3,15.239330291748047,-7.412926197052002,-2.601466178894043,1.2497494220733643,1.2269511222839355,17.145153045654297,17.119226455688477,-0.0,-0.0,-0.0,-0.0,off
0.32,15.267228126525879,-7.423206806182861,-2.6441197395324707,1.2699483633041382,1.2312508821487427,17.180908203125,17.12539291381836,-0.0,-0.0,-0.0,-0.0,off
0.34,15.315939903259277,-7.4588212966918945,-2.719771385192871,1.2919825315475464,1.2373239994049072,17.251354217529297,17.137968063354492,-0.0,-0.0,-0.0,-0.0,off
0.36,15.259978294372559,-7.43966007232666,-2.6356420516967773,1.2917028665542603,1.2427618503570557,17.180282592773438,17.14219856262207,-0.0,-0.0,-0.0,-0.0,off
0.38,15.212523460388184,-7.402095317840576,-2.5946083068847656,1.2641099691390991,1.244896650314331,17.115602493286133,17.139537811279297,-0.0,-0.0,-0.0,-0.0,off
0.4,15.215434074401855,-7.382354259490967,-2.5691609382629395,1.2462598085403442,1.2450330257415771,17.10582160949707,17.136157989501953,-0.0,-0.0,-0.0,-0.0,off
0.42,15.252408027648926,-7.401242733001709,-2.624929428100586,1.2637708187103271,1.2469067573547363,17.15530776977539,17.138071060180664,-0.0,-0.0,-0.0,-0.0,off
0.44,15.2706298828125,-7.417166709899902,-2.6889233589172363,1.2866369485855103,1.2508797645568848,17.188274383544922,17.14307975769043,-0.0,-0.0,-0.0,-0.0,off
0.46,15.183673858642578,-7.3672919273376465,-2.614224433898926,1.2730907201766968,1.253100872039795,17.077913284301758,17.13656234741211,-0.0,-0.0,-0.0,-0.0,off
