t,Fx_hat,Fy_hat,Fz_hat,tau_yaw_hat,tau_yaw_ema,force_mag,force_mag_ema,wz_obs,vx_cmd,vy_cmd,wz_cmd,compliance_mode
0.0,21.391387939453125,-2.474517583847046,-10.4330415725708,-0.5778372287750244,-0.44229644536972046,23.92829132080078,24.38692855834961,-0.0,-0.0,-0.0,-0.0,off
0.02,21.290771484375,-2.5687947273254395,-10.471057891845703,-0.5786986351013184,-0.45593664050102234,23.865009307861328,24.331663131713867,-0.0,-0.0,-0.0,-0.0,off
0.04,21.18575668334961,-2.6873385906219482,-10.53698444366455,-0.5953435897827148,-0.46987733244895935,23.813570022583008,24.27659797668457,-0.0,-0.0,-0.0,-0.0,off
0.06,21.04303741455078,-2.7713727951049805,-10.507795333862305,-0.6212171316146851,-0.4850113093852997,23.68340492248535,24.214168548583984,-0.0,-0.0,-0.0,-0.0,off
0.08,20.924097061157227,-2.835969924926758,-10.513766288757324,-0.639185905456543,-0.5004287958145142,23.5881290435791,24.148603439331055,-0.0,-0.0,-0.0,-0.0,off
0.1,20.836223602294922,-2.851099729537964,-10.602131843566895,-0.6565740704536438,-0.5160433053970337,23.55169105529785,24.08609962463379,-0.0,0.0,-0.0,-0.0,off
0.12,20.770423889160156,-2.9721624851226807,-10.616726875305176,-0.6667247414588928,-0.531111478805542,23.51508331298828,24.02616310119629,-0.0,-0.0,-0.0,-0.0,off
0.14,20.69329261779785,-3.0439023971557617,-10.689221382141113,-0.6888217329978943,-0.5468825101852417,23.489086151123047,23.969608306884766,-0.0,-0.0,-0.0,-0.0,off
0.16,20.57048797607422,-3.1767871379852295,-10.784396171569824,-0.7206555604934692,-0.5642597675323486,23.442272186279297,23.913652420043945,0.0,-0.0,-0.0,0.0,off
0.18,20.43138313293457,-3.211977243423462,-10.81757926940918,-0.7528178095817566,-0.5831155776977539,23.340484619140625,23.853254318237305,-0.0,-0.0,-0.0,-0.0,off
0.2,20.34671401977539,-3.2648379802703857,-10.86279582977295,-0.7697803974151611,-0.6017820239067078,23.294811248779297,23.794458389282227,-0.0,-0.0,-0.0,-0.0,off
0.22,20.17061996459961,-3.327702283859253,-10.91319465637207,-0.7951486706733704,-0.6211186647415161,23.17380714416504,23.729326248168945,-0.0,0.0,-0.0,-0.0,off
0.24,20.081003189086914,-3.4022223949432373,-11.00438117980957,-0.8267320394515991,-0.6416800022125244,23.1499080657959,23.6682186126709,-0.0,0.0,-0.0,-0.0,off
0.26,20.032262802124023,-3.4793944358825684,-11.062867164611816,-0.8612988591194153,-0.6636418700218201,23.14702606201172,23.613014221191406,-0.0,-0.0,-0.0,-0.0,off
0.28,19.947250366210938,-3.4986660480499268,-11.103198051452637,-0.9021987915039062,-0.6874974966049194,23.095767974853516,23.55844497680664,-0.0,-0.0,-0.0,-0.0,off
0.3,19.885677337646484,-3.525404214859009,-11.178413391113281,-0.9257500171661377,-0.7113227248191833,23.08301544189453,23.508182525634766,-0.0,-0.0,-0.0,-0.0,off
0.32,19.76697540283203,-3.6140263080596924,-11.23828411102295,-0.9437901377677917,-0.7345694303512573,23.023759841918945,23.456876754760742,-0.0,-0.0,-0.0,-0.0,off
0.34,19.66051483154297,-3.69309139251709,-11.286309242248535,-0.9843365550041199,-0.759546160697937,22.968576431274414,23.40513801574707,-0.0,-0.0,-0.0,-0.0,off
0.36,19.554908752441406,-3.7549939155578613,-11.361095428466797,-1.0161042213439941,-0.7852019667625427,22.925291061401367,23.354171752929688,-0.0,0.0,-0.0,-0.0,off
0.38,19.45046615600586,-3.7444889545440674,-11.396904945373535,-1.0301530361175537,-0.8096970319747925,22.852378845214844,23.3012752532959,-0.0,0.0,-0.0,-0.0,off
0.4,19.28542137145996,-3.776817560195923,-11.466147422790527,-1.0356543064117432,-0.8322927355766296,22.752239227294922,23.243520736694336,0.0,-0.0,-0.0,0.0,off
0.42,19.19892120361328,-3.889434576034546,-11.512126922607422,-1.0623538494110107,-0.8552988171577454,22.721254348754883,23.18834686279297,-0.0,-0.0,-0.0,-0.0,off
0.44,19.077165603637695,-3.9907567501068115,-11.573698043823242,-1.079465627670288,-0.8777154684066772,22.667484283447266,23.13312339782715,-0.0,-0.0,-0.0,-0.0,off
0.46,18.98188018798828,-4.004262447357178,-11.695399284362793,-1.0875933170318604,-0.8987032175064087,22.652334213256836,23.081851959228516,-0.0,0.0,-0.0,-0.0,off
0.48,18.936492919921875,-4.006289005279541,-11.756446838378906,-1.0884742736816406,-0.9176803231239319,22.646305084228516,23.035396575927734,-0.0,-0.0,-0.0,-0.0,off
