t,Fx_hat,Fy_hat,Fz_hat,force_mag,force_mag_ema,wz_obs,vx_cmd,vy_cmd,wz_cmd,compliance_mode
0.0,15.534849166870117,-6.662374973297119,6.791087627410889,18.216411590576172,18.1506404876709,-0.0,-0.0,-0.0,-0.0,off
0.02,15.526912689208984,-6.643802165985107,6.766851902008057,18.193828582763672,18.154010772705078,-0.0,-0.0,-0.0,-0.0,off
0.04,15.504955291748047,-6.668375492095947,6.760639667510986,18.181779861450195,18.156097412109375,-0.0,-0.0,-0.0,-0.0,off
0.06,15.506985664367676,-6.564192771911621,6.76682710647583,18.147869110107422,18.154468536376953,0.0,-0.0,-0.0,0.0,off
0.08,15.495038986206055,-6.454423904418945,6.7645792961120605,18.09738540649414,18.14784049987793,-0.0,0.0,-0.0,-0.0,off
0.1,15.492053031921387,-6.380510330200195,6.757221698760986,18.065841674804688,18.138710021972656,-0.0,-0.0,-0.0,-0.0,off
0.12,15.466351509094238,-6.369730472564697,6.741694927215576,18.03418731689453,18.127506256103516,-0.0,-0.0,-0.0,-0.0,off
0.14,15.45860481262207,-6.2962965965271,6.740853786468506,18.001415252685547,18.114118576049805,-0.0,-0.0,-0.0,-0.0,off
0.16,15.459380149841309,-6.234488487243652,6.730376720428467,17.97663116455078,18.099592208862305,-0.0,-0.0,-0.0,-0.0,off
0.18,15.448148727416992,-6.243087291717529,6.710366249084473,17.962472915649414,18.085289001464844,-0.0,-0.0,-0.0,-0.0,off
0.2,15.44180679321289,-6.1636762619018555,6.708003997802734,17.928682327270508,18.068979263305664,-0.0,-0.0,-0.0,-0.0,off
0.22,15.444019317626953,-6.0693359375,6.719030857086182,17.902511596679688,18.051576614379883,-0.0,0.0,-0.0,-0.0,off
0.24,15.453300476074219,-5.979531288146973,6.70581579208374,17.87532615661621,18.033109664916992,-0.0,0.0,-0.0,-0.0,off
0.26,15.460894584655762,-5.90215539932251,6.704634666442871,17.855722427368164,18.01447868347168,-0.0,0.0,-0.0,-0.0,off
