t,Fx_hat,Fy_hat,Fz_hat,tau_yaw_hat,tau_yaw_ema,force_mag,force_mag_ema,wz_obs,vx_cmd,vy_cmd,wz_cmd,compliance_mode
0.0,0.3970036208629608,0.9477819800376892,4.469408988952637,1.8569214344024658,1.6120105981826782,4.586013317108154,4.095489025115967,0.0,-0.0,-0.0,0.0,off
0.02,0.39774057269096375,0.9310979247093201,4.44883918762207,1.8570611476898193,1.6365156173706055,4.562599182128906,4.1421661376953125,-0.0,-0.0,-0.0,-0.0,off
0.04,0.41028842329978943,0.9481222033500671,4.584133625030518,1.8850924968719482,1.661373257637024,4.699101448059082,4.197842121124268,-0.0,-0.0,-0.0,-0.0,off
0.06,0.41720816493034363,0.9606847167015076,4.65971565246582,1.9030535221099854,1.6855412721633911,4.775973796844482,4.255643367767334,-0.0,-0.0,-0.0,-0.0,off
0.08,0.40374013781547546,0.9572586417198181,4.630353927612305,1.9056894779205322,1.7075560092926025,4.745474338531494,4.304614067077637,-0.0,-0.0,-0.0,-0.0,off
0.1,0.3971470296382904,0.9347662329673767,4.619941711425781,1.8939120769500732,1.7261916399002075,4.730261325836182,4.347174644470215,-0.0,-0.0,-0.0,-0.0,off
0.12,0.4012860953807831,0.9527613520622253,4.67954158782959,1.8903636932373047,1.7426087856292725,4.792378902435303,4.391690731048584,-0.0,-0.0,-0.0,-0.0,off
0.14,0.4128386676311493,1.0405216217041016,4.772728443145752,1.967212438583374,1.7650690078735352,4.902250289916992,4.442685127258301,-0.0,-0.0,-0.0,-0.0,off
0.16,0.4099062383174896,1.035135269165039,4.894598007202148,1.9934587478637695,1.7879078388214111,5.019623279571533,4.500357151031494,-0.0,-0.0,-0.0,-0.0,off
0.18,0.4117119014263153,1.0123496055603027,4.81756591796875,1.9702231884002686,1.806139349937439,4.939969539642334,4.544308185577393,-0.0,-0.0,-0.0,-0.0,off
0.2,0.4100510776042938,0.9838792681694031,4.896627426147461,1.9598076343536377,1.821506142616272,5.011299133300781,4.591001510620117,-0.0,-0.0,-0.0,-0.0,off
0.22,0.40840134024620056,0.9955562949180603,4.974642276763916,1.980769395828247,1.8374325037002563,5.089694499969482,4.640861988067627,-0.0,-0.0,-0.0,-0.0,off
0.24,0.40354928374290466,1.0178537368774414,5.002425193786621,2.0138041973114014,1.855069637298584,5.120852947235107,4.6888532638549805,-0.0,-0.0,-0.0,-0.0,off
0.26,0.4025474488735199,1.002828598022461,5.021431922912598,2.0057408809661865,1.8701366186141968,5.136388778686523,4.733596324920654,-0.0,-0.0,-0.0,-0.0,off
0.28,0.4008065164089203,0.9720067381858826,4.963709354400635,1.9646122455596924,1.8795840740203857,5.073840141296387,4.767604351043701,-0.0,0.0,-0.0,-0.0,off
0.3,0.4011150300502777,0.9671172499656677,4.946345329284668,1.9418690204620361,1.885812520980835,5.055941104888916,4.796425819396973,-0.0,0.0,-0.0,-0.0,off
0.32,0.396790474653244,1.0309629440307617,5.044259548187256,2.0084269046783447,1.8980739116668701,5.16380500793457,4.83315372467041,-0.0,-0.0,-0.0,-0.0,off
0.34,0.3917388617992401,1.0502371788024902,5.053697109222412,2.0349485874176025,1.9117614030838013,5.176515579223633,4.867473602294922,-0.0,-0.0,-0.0,-0.0,off
0.36,0.39186951518058777,1.017268180847168,5.040682792663574,1.9838926792144775,1.91897451877594,5.1572160720825195,4.8964409828186035,-0.0,-0.0,-0.0,-0.0,off
0.38,0.38882943987846375,1.009995698928833,4.965948104858398,1.951324701309204,1.9222095012664795,5.0825114250183105,4.915043354034424,-0.0,-0.0,-0.0,-0.0,off
0.4,0.38645443320274353,0.9885661005973816,4.986926555633545,1.9199621677398682,1.9219846725463867,5.098631858825684,4.933393478393555,-0.0,-0.0,-0.0,-0.0,off
0.42,0.3860933482646942,1.0076961517333984,5.0031914710998535,1.934342622756958,1.9232203960418701,5.118246555328369,4.951873779296875,-0.0,-0.0,-0.0,-0.0,off
0.44,0.3769981563091278,0.9582375884056091,4.933665752410889,1.8928439617156982,1.920182704925537,5.039980411529541,4.960667133331299,-0.0,-0.0,-0.0,-0.0,off
0.46,0.3703370988368988,0.9273030161857605,4.844801902770996,1.8475837707519531,1.9129228591918945,4.946629524230957,4.959239959716797,-0.0,-0.0,-0.0,-0.0,off
0.48,0.366320937871933,0.9394864439964294,4.794240951538086,1.8357787132263184,1.9052084684371948,4.899139881134033,4.953222751617432,-0.0,-0.0,-0.0,-0.0,off
0.5,0.36777278780937195,0.9662184119224548,4.834611892700195,1.8419313430786133,1.8988807201385498,4.943916320800781,4.95228910446167,-0.0,-0.0,-0.0,-0.0,off
0.52,0.36439916491508484,0.9743391871452332,4.8513407707214355,1.8579809665679932,1.8947906494140625,4.961615562438965,4.953217029571533,-0.0,-0.0,-0.0,-0.0,off
