t,Fx_hat,Fy_hat,Fz_hat,tau_yaw_hat,tau_yaw_ema,force_mag,force_mag_ema,wz_obs,vx_cmd,vy_cmd,wz_cmd,compliance_mode
0.0,22.90507698059082,-2.4082753658294678,8.304037094116211,1.5127418041229248,1.6652029752731323,24.482635498046875,22.921566009521484,-0.0,-0.0,-0.0,-0.0,off
0.02,23.192951202392578,-2.4844491481781006,8.176913261413574,1.4550201892852783,1.6441845893859863,24.717350006103516,23.078109741210938,-0.0,-0.0,-0.0,-0.0,off
0.04,23.961130142211914,-2.278163194656372,8.262829780578613,1.4703283309936523,1.6267989873886108,25.447988510131836,23.29825210571289,-0.0,-0.0,-0.0,-0.0,off
0.06,24.30416488647461,-1.8183910846710205,8.074581146240234,1.5171923637390137,1.6158382892608643,25.674848556518555,23.524599075317383,0.0,-0.0,-0.0,0.0,off
0.08,24.354564666748047,-1.090575933456421,7.516607761383057,1.525221586227417,1.6067765951156616,25.51144027709961,23.715999603271484,-0.0,-0.0,-0.0,-0.0,off
0.1,24.570528030395508,-0.35770538449287415,6.880302429199219,1.5243444442749023,1.5985333919525146,25.518177032470703,23.889497756958008,-0.0,-0.0,-0.0,-0.0,off
0.12,24.549049377441406,0.06920120865106583,6.230348110198975,1.5438830852508545,1.5930683612823486,25.32741355895996,24.026201248168945,-0.0,-0.0,-0.0,-0.0,off
0.14,24.52992820739746,0.5406501293182373,5.771998882293701,1.5568199157714844,1.5894434452056885,25.20566749572754,24.134925842285156,-0.0,-0.0,-0.0,-0.0,off
0.16,24.596704483032227,0.7780821323394775,5.380177021026611,1.5729575157165527,1.5877947807312012,25.19026756286621,24.230546951293945,-0.0,0.0,-0.0,-0.0,off
0.18,24.761674880981445,1.0377190113067627,5.146012783050537,1.5788578987121582,1.586901068687439,25.312028884887695,24.328027725219727,-0.0,-0.0,-0.0,-0.0,off
0.2,24.72401237487793,1.012882947921753,4.936366558074951,1.6016037464141846,1.5883713960647583,25.232328414916992,24.409433364868164,-0.0,-0.0,-0.0,-0.0,off
0.22,24.74130630493164,0.9536364078521729,4.662390232086182,1.6096723079681396,1.5905014276504517,25.19483184814453,24.480091094970703,-0.0,-0.0,-0.0,-0.0,off
0.24,24.836095809936523,0.897254228591919,4.368387222290039,1.614640235900879,1.5929151773452759,25.23330307006836,24.548065185546875,-0.0,-0.0,-0.0,-0.0,off
0.26,24.811382293701172,0.9060842990875244,4.189024448394775,1.6216459274291992,1.5957882404327393,25.178831100463867,24.604387283325195,-0.0,0.0,-0.0,-0.0,off
0.28,24.74942398071289,0.8474881649017334,3.915073871612549,1.6051485538482666,1.5967241525650024,25.07149887084961,24.644634246826172,-0.0,-0.0,-0.0,-0.0,off
0.3,24.832290649414062,0.7528741359710693,3.7812914848327637,1.5831530094146729,1.5953669548034668,25.12981605529785,24.687530517578125,-0.0,-0.0,-0.0,-0.0,off
0.32,24.88852882385254,0.581641435623169,3.552420139312744,1.559934139251709,1.591823697090149,25.14750099182129,24.72823715209961,-0.0,-0.0,-0.0,-0.0,off
0.34,25.107654571533203,0.39711639285087585,3.172995090484619,1.5185682773590088,1.5844980478286743,25.310470581054688,24.78016471862793,-0.0,-0.0,-0.0,-0.0,off
0.36,25.376514434814453,0.3283068835735321,2.877627372741699,1.4530420303344727,1.5713523626327515,25.541261672973633,24.849153518676758,0.0,0.0,-0.0,0.0,off
0.38,25.742599487304688,0.2891232669353485,2.516838550567627,1.389415979385376,1.5531587600708008,25.866958618164062,24.94239616394043,0.0,-0.0,-0.0,0.0,off
0.4,25.949264526367188,0.38173553347587585,2.079171657562256,1.3236632347106934,1.5302091836929321,26.035226821899414,25.04121208190918,-0.0,-0.0,-0.0,-0.0,off
0.42,26.02762794494629,0.4925229251384735,1.590014100074768,1.2818658351898193,1.505374789237976,26.080801010131836,25.132476806640625,-0.0,-0.0,-0.0,-0.0,off
0.44,25.880718231201172,0.7102892398834229,1.1082254648208618,1.235701560974121,1.4784075021743774,25.91417121887207,25.195852279663086,-0.0,-0.0,-0.0,-0.0,off
0.46,25.759605407714844,0.6788389682769775,0.6199222803115845,1.1734464168548584,1.4479113817214966,25.776004791259766,25.237350463867188,-0.0,-0.0,-0.0,-0.0,off
0.48,25.593578338623047,0.6829624176025391,0.2989726960659027,1.1165616512298584,1.4147764444351196,25.604434967041016,25.257606506347656,-0.0,-0.0,-0.0,-0.0,off
0.5,25.433917999267578,0.5461874008178711,-0.06774654984474182,1.0629515647888184,1.379593849182129,25.439870834350586,25.259042739868164,-0.0,-0.0,-0.0,-0.0,off
0.52,25.558368682861328,0.5187568664550781,-0.34594908356666565,1.0121872425079346,1.3428531885147095,25.56597328186035,25.273263931274414,0.0,-0.0,-0.0,0.0,off
0.54,25.728656768798828,0.44881364703178406,-0.7365678548812866,0.9529629349708557,1.3038641214370728,25.74311065673828,25.302881240844727,0.0,-0.0,-0.0,0.0,off
0.56,25.95909309387207,0.26367661356925964,-1.0632280111312866,0.8994291424751282,1.263420581817627,25.982194900512695,25.353336334228516,-0.0,-0.0,-0.0,-0.0,off
0.58,26.152843475341797,0.16681215167045593,-1.37326180934906,0.860640823841095,1.2231426239013672,26.189403533935547,25.419580459594727,-0.0,-0.0,-0.0,-0.0,off
0.6,26.387310028076172,0.15167877078056335,-1.6764582395553589,0.8295197486877441,1.183780312538147,26.44094467163086,25.504627227783203,-0.0,-0.0,-0.0,-0.0,off
0.62,26.54719352722168,0.12445066124200821,-1.9785751104354858,0.7907434105873108,1.1444766521453857,26.62111473083496,25.599483489990234,-0.0,-0.0,-0.0,-0.0,off
0.64,26.723121643066406,-0.017133258283138275,-2.292921543121338,0.7451901435852051,1.1045479774475098,26.821317672729492,25.704959869384766,-0.0,-0.0,-0.0,-0.0,off
0.66,26.77854347229004,-0.06404044479131699,-2.527148723602295,0.69737309217453,1.0638304948806763,26.897602081298828,25.808486938476562,-0.0,-0.0,-0.0,-0.0,off
0.68,26.903018951416016,-0.06770732253789902,-2.811709403991699,0.6549124717712402,1.02293860912323,27.049633026123047,25.91729736328125,-0.0,-0.0,-0.0,-0.0,off
0.7000000000000001,27.01240348815918,-0.1648886501789093,-3.086085796356201,0.6241101622581482,0.9830557107925415,27.18861961364746,26.029523849487305,-0.0,0.0,-0.0,-0.0,off
0.72,27.027048110961914,-0.33597615361213684,-3.2990212440490723,0.5739088654518127,0.9421409964561462,27.229721069335938,26.135406494140625,-0.0,0.0,-0.0,-0.0,off
0.74,27.090560913085938,-0.4710374176502228,-3.473783016204834,0.5245223641395569,0.9003790616989136,27.31643295288086,26.24043846130371,-0.0,0.0,-0.0,-0.0,off
0.76,27.191486358642578,-0.6458315849304199,-3.695194721221924,0.4868886470794678,0.85903000831604,27.449016571044922,26.34865951538086,-0.0,-0.0,-0.0,-0.0,off
0.78,27.23438262939453,-0.7951087951660156,-3.9040842056274414,0.4453670382499695,0.8176636695861816,27.524274826049805,26.454057693481445,-0.0,-0.0,-0.0,-0.0,off
0.8,27.297626495361328,-1.0155680179595947,-4.146659851074219,0.40032827854156494,0.7759301066398621,27.629451751708984,26.559371948242188,-0.0,-0.0,-0.0,-0.0,off
0.8200000000000001,27.349782943725586,-1.235344409942627,-4.350520610809326,0.3354080617427826,0.731877863407135,27.72117805480957,26.66353416442871,-0.0,-0.0,-0.0,-0.0,off
0.84,27.500885009765625,-1.4029138088226318,-4.615784168243408,0.2674401104450226,0.6854340434074402,27.920822143554688,26.77719497680664,-0.0,-0.0,-0.0,-0.0,off
0.86,27.611164093017578,-1.5803711414337158,-4.828210353851318,0.21613654494285583,0.6385042667388916,28.074644088745117,26.89518165588379,-0.0,-0.0,-0.0,-0.0,off
0.88,27.6717586517334,-1.7630815505981445,-4.992445468902588,0.15365809202194214,0.5900195837020874,28.17373275756836,27.01183319091797,-0.0,-0.0,-0.0,-0.0,off
0.9,27.72657585144043,-1.9219896793365479,-5.196702480316162,0.09094370901584625,0.5401119589805603,28.27477264404297,27.127193450927734,-0.0,-0.0,-0.0,-0.0,off
0.92,27.756772994995117,-2.122695207595825,-5.372814178466797,0.022129565477371216,0.4883137345314026,28.3515682220459,27.23893165588379,0.0,-0.0,-0.0,0.0,off
0.9400000000000001,27.801231384277344,-2.246377944946289,-5.55100154876709,-0.02994219958782196,0.43648815155029297,28.43885040283203,27.348743438720703,0.0,-0.0,-0.0,0.0,off
0.96,27.856340408325195,-2.368427276611328,-5.732276916503906,-0.08539607375860214,0.38429969549179077,28.538467407226562,27.457996368408203,-0.0,0.0,-0.0,-0.0,off
0.98,27.88813018798828,-2.5736069679260254,-5.8512678146362305,-0.1394684910774231,0.33192285895347595,28.61133575439453,27.564041137695312,-0.0,-0.0,-0.0,-0.0,off
1.0,27.922649383544922,-2.7685446739196777,-6.0368428230285645,-0.1965751051902771,0.279073029756546,28.701614379882812,27.66850471496582,-0.0,0.0,-0.0,-0.0,off
1.02,27.953014373779297,-2.9758808612823486,-6.225863456726074,-0.25364530086517334,0.22580118477344513,28.792156219482422,27.771486282348633,0.0,0.0,-0.0,0.0,off
