t,Fx_hat,Fy_hat,Fz_hat,tau_yaw_hat,tau_yaw_ema,force_mag,force_mag_ema,wz_obs,vx_cmd,vy_cmd,wz_cmd,compliance_mode
0.0,3.865206003189087,4.378544330596924,-0.33474797010421753,0.01794886589050293,0.01770452968776226,5.8500871658325195,5.991039752960205,-0.0,0.0,-0.0,-0.0,off
0.02,3.8968050479888916,4.351282596588135,-0.3309161067008972,0.017735004425048828,0.017707576975226402,5.850492000579834,5.9769158363342285,-0.0,-0.0,-0.0,-0.0,off
0.04,3.9066543579101562,4.348631858825684,-0.3351275324821472,0.015737533569335938,0.01751057058572769,5.855327606201172,5.964710712432861,-0.0,-0.0,-0.0,-0.0,off
0.06,3.923342704772949,4.318448543548584,-0.3377930521965027,0.017258644104003906,0.017485376447439194,5.844289302825928,5.95264196395874,-0.0,-0.0,-0.0,-0.0,off
0.08,3.8948886394500732,4.274998664855957,-0.32880181074142456,0.019536972045898438,0.017690535634756088,5.792571544647217,5.936607837677002,-0.0,0.0,-0.0,-0.0,off
0.1,3.8922109603881836,4.228633880615234,-0.32634228467941284,0.020699024200439453,0.017991382628679276,5.756487846374512,5.918562889099121,-0.0,-0.0,-0.0,-0.0,off
0.12,3.926410675048828,4.316643714904785,-0.3362051844596863,0.0184023380279541,0.018032478168606758,5.8449249267578125,5.911184787750244,-0.0,-0.0,-0.0,-0.0,off
0.14,3.916396379470825,4.273812770843506,-0.3368212580680847,0.0200347900390625,0.018232708796858788,5.806641578674316,5.900716304779053,-0.0,-0.0,-0.0,-0.0,off
0.16,3.8897931575775146,4.253214359283447,-0.33029812574386597,0.02189326286315918,0.0185987651348114,5.773163795471191,5.887948989868164,-0.0,-0.0,-0.0,-0.0,off
0.18,3.8859150409698486,4.16799783706665,-0.3236786723136902,0.027720212936401367,0.019510909914970398,5.707653522491455,5.869874000549316,-0.0,-0.0,-0.0,-0.0,off
