t,Fx_hat,Fy_hat,Fz_hat,tau_yaw_hat,tau_yaw_ema,force_mag,force_mag_ema,wz_obs,vx_cmd,vy_cmd,wz_cmd,compliance_mode
0.0,8.43101978302002,-12.601616859436035,19.358362197875977,-0.5651161670684814,-0.3645983040332794,24.589204788208008,23.428701400756836,-0.0,-0.0,-0.0,-0.0,off
0.02,8.69131088256836,-12.632844924926758,19.508136749267578,-0.5729381442070007,-0.38543227314949036,24.813203811645508,23.566444396972656,-0.0,-0.0,-0.0,-0.0,off
0.04,8.841745376586914,-12.689516067504883,19.621688842773438,-0.5997113585472107,-0.4068601727485657,24.98421287536621,23.707500457763672,-0.0,-0.0,-0.0,-0.0,off
0.06,9.050823211669922,-12.685364723205566,19.756772994995117,-0.618232786655426,-0.4279974102973938,25.16278839111328,23.852067947387695,-0.0,-0.0,-0.0,-0.0,off
0.08,9.271317481994629,-12.729863166809082,19.843542098999023,-0.623181164264679,-0.4475157856941223,25.33323860168457,23.999055862426758,-0.0,-0.0,-0.0,-0.0,off
0.1,9.453543663024902,-12.651817321777344,19.906341552734375,-0.6330889463424683,-0.46607309579849243,25.410634994506836,24.138757705688477,-0.0,-0.0,-0.0,-0.0,off
0.12,9.706332206726074,-12.570566177368164,19.9802188873291,-0.6540780067443848,-0.48487359285354614,25.523345947265625,24.27522087097168,-0.0,-0.0,-0.0,-0.0,off
0.14,9.94467830657959,-12.500489234924316,20.04060935974121,-0.6860195994377136,-0.5049881935119629,25.62781524658203,24.408010482788086,-0.0,-0.0,-0.0,-0.0,off
0.16,10.14063835144043,-12.544776916503906,20.078655242919922,-0.7054871320724487,-0.5250380635261536,25.755706787109375,24.540271759033203,-0.0,-0.0,-0.0,-0.0,off
0.18,10.319150924682617,-12.50191593170166,20.146867752075195,-0.7179660797119141,-0.5443308353424072,25.858829498291016,24.669437408447266,-0.0,-0.0,-0.0,-0.0,off
0.2,10.636847496032715,-12.560063362121582,20.204687118530273,-0.7404524087905884,-0.5639429688453674,26.06006622314453,24.805349349975586,-0.0,-0.0,-0.0,-0.0,off
0.22,10.921586990356445,-12.498469352722168,20.2617130279541,-0.7665036916732788,-0.5841990113258362,26.192171096801758,24.940263748168945,-0.0,-0.0,-0.0,-0.0,off
0.24,11.250625610351562,-12.48938274383545,20.321529388427734,-0.7846502661705017,-0.6042441129684448,26.37282371520996,25.079092025756836,-0.0,-0.0,-0.0,-0.0,off
0.26,11.547659873962402,-12.384117126464844,20.37849235534668,-0.7982337474822998,-0.6236430406570435,26.495241165161133,25.215547561645508,-0.0,-0.0,-0.0,-0.0,off
0.28,11.844425201416016,-12.342537879943848,20.415281295776367,-0.8113855123519897,-0.6424172520637512,26.634796142578125,25.351791381835938,-0.0,-0.0,-0.0,-0.0,off
0.3,12.155086517333984,-12.169896125793457,20.466405868530273,-0.8511878252029419,-0.66329425573349,26.734365463256836,25.48341178894043,-0.0,-0.0,-0.0,-0.0,off
0.32,12.628414154052734,-11.996248245239258,20.495609283447266,-0.8903218507766724,-0.6859970092773438,26.897151947021484,25.61618995666504,-0.0,-0.0,-0.0,-0.0,off
0.34,12.910961151123047,-11.842113494873047,20.520109176635742,-0.9033651947975159,-0.7077338099479675,26.981538772583008,25.743560791015625,-0.0,-0.0,-0.0,-0.0,off
0.36,13.16688060760498,-11.67607307434082,20.51848030090332,-0.9031069874763489,-0.7272710800170898,27.031564712524414,25.862756729125977,-0.0,-0.0,-0.0,-0.0,off
0.38,13.549585342407227,-11.530838012695312,20.534053802490234,-0.9113029837608337,-0.7456742525100708,27.169815063476562,25.982715606689453,-0.0,-0.0,-0.0,-0.0,off
0.4,13.827844619750977,-11.303924560546875,20.554670333862305,-0.9300010800361633,-0.7641069293022156,27.230175018310547,26.096012115478516,-0.0,-0.0,-0.0,-0.0,off
0.42,14.04996109008789,-11.089550018310547,20.590816497802734,-0.9697380661964417,-0.7846699953079224,27.28298568725586,26.203073501586914,-0.0,-0.0,-0.0,-0.0,off
0.44,14.303767204284668,-10.872918128967285,20.599937438964844,-1.003948450088501,-0.8065978288650513,27.33451271057129,26.304126739501953,-0.0,-0.0,-0.0,-0.0,off
0.46,14.588672637939453,-10.69406795501709,20.6114444732666,-1.027462363243103,-0.8286842703819275,27.423057556152344,26.40350914001465,-0.0,-0.0,-0.0,-0.0,off
0.48,14.851211547851562,-10.370017051696777,20.622478485107422,-1.064646601676941,-0.8522804975509644,27.447811126708984,26.49435043334961,-0.0,0.0,-0.0,-0.0,off
